hanhui1000002,华AZI419,401,444,327,2844,3349,31813,3997,433,371
likun1000003,华AVM936,341,354,291,3043,3044,28728,3552,347,376
haowei1000008,华A709GB,321,314,255,2659,2639,25522,3204,312,318
xiexiao1000001,华AEB132,264,261,248,2525,2324,23434,2720,314,253
duxu1000009,华AT75H8,238,284,247,2632,2301,22338,2814,264,248
panxian1000005,华AX542C,395,434,330,2930,3531,33946,4307,417,441
shenxian1000004,华ADJ750,374,356,297,2810,3126,31494,3767,383,366
zouan1000007,华A58M83,360,385,315,2997,3181,31248,3594,389,385
zengpeng1000000,华AZQ110,340,344,272,2894,2763,25479,3274,284,337
xiezhi1000006,华A6CU11,255,310,254,2074,2535,23942,2931,312,279
